"","cm1","author","year","species","spec","region","site","recovery","acc","exp.dur","s1","n1","c.temp","c.pco2","am3","s3","n3","a.pco2","wm4","s4","n4","w.temp","m6","s6","n6","i.temp","i.pco2","cite","days","Feeding","Seawater","p.mag","t.mag","calc_method","irradiance","yi.w","vi.w","yi.a","vi.a","sd1","sd3","sd4","sd6","Sa","Sw","Si","lnRRa","lnRRt","yi.i","vi.i"
"20",0.739130435,"Albright",2011,"Porites astreoides","PAST","Florida Keys","Little Grecian, Key Largo",NA,NA,"49 d",0.075514874,38,28,380,0.482837529,0.066361556,29,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Albright 2011",49,"ND","N",420,NA,"O",NA,NA,NA,-3.56361912652276,0.155650611409713,0.465504946718038,0.357367915917886,NA,NA,0.10053035516687,NA,NA,-2.54940814219328,NA,NA,NA
"42",4.9,"Bedwell-Ivers",2017,"Porites divaricata","PDIV","Little Cayman","Little Cayman",NA,"5 d","28 d",0.494117647,5,30,487,3.541176471,0.329411765,5,791,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bedwell-Ivers 2017",28,"ND","N",304,NA,"BW",800,NA,NA,-2.92107236667312,0.906286414383612,1.10488064757424,0.736587099128186,NA,NA,0.593855504308272,NA,NA,-2.28813830829567,NA,NA,NA
"43",11.32352941,"Bedwell-Ivers",2017,"Acropora cervicornis","ACER","Little Cayman","Little Cayman",NA,"5 d","28 d",0.576470588,5,30,487,9.594117647,0.576470588,5,791,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bedwell-Ivers 2017",28,"ND","N",304,NA,"BW",800,NA,NA,-2.70810999946332,0.780947065262416,1.28902742179727,1.28902742179727,NA,NA,0.815252523858793,NA,NA,-2.12132034233303,NA,NA,NA
"2",0.061611374,"Bove",2019,"Porites astreoides","PAST","Belize","Inshore","23 d","50 d","93 d",0.274881517,6,28,405,-0.109004739,0.208530806,5,701,0.213270142,0.132701422,4,31,0.023696682,0.056872038,5,31,673,"Bove 2019",93,"3","N",296,3,"BW",300,0.634294066194585,0.390535217806473,-0.63909630515438,0.384006202714945,0.67331945637218,0.466289057618821,0.265402844,0.127169742986951,0.345028905222781,0.305236819189696,0.280703183263914,-0.494498027316973,0.49685607523563,-0.0337676024538996,0.816695172941054
"3",0.095238095,"Bove",2019,"Porites astreoides","PAST","Belize","Offshore","23 d","50 d","93 d",0.142857143,6,28,405,-0.228571429,0.161904762,5,701,-0.114285714,0.104761905,4,31,-0.066666667,0.180952381,4,31,673,"Bove 2019",93,"3","N",296,3,"BW",300,-1.50988779253365,0.518365463741135,-1.93820228299984,0.565123467463687,0.34992710646181,0.362030053712925,0.20952381,0.361904762,0.215919696332685,0.177153097758271,0.230547017971805,-1.49967571045987,-1.18272732258907,0.805537573783376,0.883742739897635
"4",0.125,"Bove",2019,"Undaria tenuifolia","UTEN","Belize","Offshore","23 d","50 d","93 d",0.022222222,2,28,405,-0.041666667,0.016666667,1,701,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bove 2019",93,"3","N",296,3,"BW",300,NA,NA,NA,NA,0.0314269677384658,0.016666667,NA,NA,0.0277777778,NA,NA,-6.0000000072,NA,NA,NA
"11",0.283333333,"Bove",2019,"Undaria tenuifolia","UTEN","Belize","Inshore","23 d","50 d","93 d",0.080555556,5,28,405,0.086111111,0.030555556,3,701,NA,NA,NA,NA,NA,NA,NA,31,673,"Bove 2019",93,"3","N",296,3,"BW",300,NA,NA,-2.81202369404956,1.01828018793522,0.180127699181291,0.0529237754455161,NA,NA,0.0861559029024609,NA,NA,-2.28913185696957,NA,NA,NA
"18",0.444897959,"Bove",2019,"Pseudodiploria strigosa","PSTR","Belize","Offshore","23 d","50 d","93 d",0.53877551,3,28,405,0.555102041,0.208163265,8,701,-0.191836735,0.097959184,3,31,-0.351020408,0.257142857,3,31,673,"Bove 2019",93,"3","N",296,3,"BW",300,-1.31202891204392,0.893619109934797,0.246592149773775,0.767356490389485,0.933186557193834,0.588774625101729,0.169670283755988,0.445384493127418,0.577590681253793,0.547608484143285,0.596993717790969,0.190799619136474,-1.16275534882581,-0.225620259453319,1.12649719121988
"21",0.763265306,"Bove",2019,"Pseudodiploria strigosa","PSTR","Belize","Inshore","23 d","50 d","93 d",0.624489796,2,28,405,0.432653061,0.281632653,6,701,-0.33877551,0.502040816,3,31,-0.020408163,0.146938776,2,31,673,"Bove 2019",93,"3","N",296,3,"BW",300,-1.40745165770079,1.07295614150717,-0.592843089534636,1.39731086321633,0.883161939066807,0.689856294756314,0.869560200785338,0.207802809857702,0.685057995022275,0.801269296952072,0.64154384822902,-0.482604753761395,-1.37536883066907,0.505795195286734,1.5098395684452
"27",1.231213873,"Bove",2019,"Siderastrea siderea","SSID","Belize","Inshore","23 d","50 d","93 d",0.338150289,6,28,405,0.910404624,0.095375723,5,701,1.187861272,0.199421965,6,31,0.971098266,0.112716763,5,31,673,"Bove 2019",93,"3","N",296,3,"BW",300,-0.144108652421816,0.341674937029577,-1.18009478583026,0.440808246955724,0.828295664424667,0.21326660003119,0.488482057753166,0.252042344271733,0.351343345587413,0.392574500031834,0.356441701561394,-0.913093283334105,-0.110431525726925,0.145951276946869,0.733817464588843
