author,year,units,species,spec,region,site,recovery,acc,exp.dur,cm1,s1,n1,c.temp,c.pco2,am3,s3,n3,a.pco2,wm4,s4,n4,w.temp,m6,s6,n6,i.temp,i.pco2
Albright,2011,N,Porites astreoides,PAST,Florida Keys,"Little Grecian, Key Largo",NA,NA,49 d,0.739130435,0.075514874,38,28,380,0.482837529,0.066361556,29,800,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bedwell-Ivers,2017,N,Acropora cervicornis,ACER,Little Cayman,Little Cayman,NA,5 d,28 d,11.32352941,0.576470588,5,30,487,9.594117647,0.576470588,5,791,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bedwell-Ivers,2017,N,Porites divaricata,PDIV,Little Cayman,Little Cayman,NA,5 d,28 d,4.9,0.494117647,5,30,487,3.541176471,0.329411765,5,791,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bove,2019,Y,Porites astreoides,PAST,Belize,Inshore,23 d,50 d,93 d,0.061611374,0.274881517,6,28,405,-0.109004739,0.208530806,5,701,0.213270142,0.132701422,4,31,0.023696682,0.056872038,5,31,673
Bove,2019,Y,Pseudodiploria strigosa,PSTR,Belize,Inshore,23 d,50 d,93 d,0.763265306,0.624489796,2,28,405,0.432653061,0.281632653,6,701,-0.33877551,0.502040816,3,31,-0.020408163,0.146938776,2,31,673
Bove,2019,Y,Siderastrea siderea,SSID,Belize,Inshore,23 d,50 d,93 d,1.231213873,0.338150289,6,28,405,0.910404624,0.095375723,5,701,1.187861272,0.199421965,6,31,0.971098266,0.112716763,5,31,673
Bove,2019,Y,Undaria tenuifolia,UTEN,Belize,Inshore,23 d,50 d,93 d,0.283333333,0.080555556,5,28,405,0.086111111,0.030555556,3,701,NA,NA,NA,NA,NA,NA,NA,31,673
Bove,2019,Y,Porites astreoides,PAST,Belize,Offshore,23 d,50 d,93 d,0.095238095,0.142857143,6,28,405,-0.228571429,0.161904762,5,701,-0.114285714,0.104761905,4,31,-0.066666667,0.180952381,4,31,673
Bove,2019,Y,Pseudodiploria strigosa,PSTR,Belize,Offshore,23 d,50 d,93 d,0.444897959,0.53877551,3,28,405,0.555102041,0.208163265,8,701,-0.191836735,0.097959184,3,31,-0.351020408,0.257142857,3,31,673
Bove,2019,Y,Siderastrea siderea,SSID,Belize,Offshore,23 d,50 d,93 d,1.51734104,0.216763006,6,28,405,1.222543353,0.225433526,6,701,1.12716763,0.424855491,5,31,1.13583815,0.268786127,6,31,673
