author,year,units,species,spec,region,site,recovery,acc,exp.dur,cm1,s1,n1,c.temp,c.pco2,am3,s3,n3,a.pco2,wm4,s4,n4,w.temp,m6,s6,n6,i.temp,i.pco2
Albright,2011,N,Porites astreoides,PAST,Florida Keys,"Little Grecian, Key Largo",NA,NA,49 d,0.739130435,0.075514874,38,28,4.3,0.482837529,0.066361556,29,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bedwell-Ivers,2017,N,Acropora cervicornis,ACER,Little Cayman,Little Cayman,NA,5 d,28 d,11.32352941,0.576470588,5,30,4,9.594117647,0.576470588,5,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bedwell-Ivers,2017,N,Porites divaricata,PDIV,Little Cayman,Little Cayman,NA,5 d,28 d,4.9,0.494117647,5,30,4,3.541176471,0.329411765,5,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bove,2019,Y,Porites astreoides,PAST,Belize,Inshore,23 d,50 d,93 d,0.061611374,0.274881517,6,28,3.4,-0.109004739,0.208530806,5,2.4,0.213270142,0.132701422,4,31,0.023696682,0.056872038,5,31,2.7
Bove,2019,Y,Pseudodiploria strigosa,PSTR,Belize,Inshore,23 d,50 d,93 d,0.763265306,0.624489796,2,28,3.4,0.432653061,0.281632653,6,2.4,-0.33877551,0.502040816,3,31,-0.020408163,0.146938776,2,31,2.7
Bove,2019,Y,Siderastrea siderea,SSID,Belize,Inshore,23 d,50 d,93 d,1.231213873,0.338150289,6,28,3.4,0.910404624,0.095375723,5,2.4,1.187861272,0.199421965,6,31,0.971098266,0.112716763,5,31,2.7
Bove,2019,Y,Undaria tenuifolia,UTEN,Belize,Inshore,23 d,50 d,93 d,0.283333333,0.080555556,5,28,3.4,0.086111111,0.030555556,3,2.4,NA,NA,NA,NA,NA,NA,NA,31,2.7
Bove,2019,Y,Porites astreoides,PAST,Belize,Offshore,23 d,50 d,93 d,0.095238095,0.142857143,6,28,3.4,-0.228571429,0.161904762,5,2.4,-0.114285714,0.104761905,4,31,-0.066666667,0.180952381,4,31,2.7
Bove,2019,Y,Pseudodiploria strigosa,PSTR,Belize,Offshore,23 d,50 d,93 d,0.444897959,0.53877551,3,28,3.4,0.555102041,0.208163265,8,2.4,-0.191836735,0.097959184,3,31,-0.351020408,0.257142857,3,31,2.7
Bove,2019,Y,Siderastrea siderea,SSID,Belize,Offshore,23 d,50 d,93 d,1.51734104,0.216763006,6,28,3.4,1.222543353,0.225433526,6,2.4,1.12716763,0.424855491,5,31,1.13583815,0.268786127,6,31,2.7
Bove,2019,Y,Undaria tenuifolia,UTEN,Belize,Offshore,23 d,50 d,93 d,0.125,0.022222222,2,28,3.4,-0.041666667,0.016666667,1,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Castillo,2014,Y,Siderastrea siderea,SSID,Belize,Backreeef,30 d,15 d,95 d,2.496138996,0.26593649,18,28.16,2.8,2.55984556,0.267413915,18,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Castillo,2014,Y,Siderastrea siderea,SSID,Belize,Backreeef,30 d,15 d,95 d,2.464939024,0.209992534,18,28.16,2.8,NA,NA,NA,NA,0.407012195,0.198326282,18,32.01,NA,NA,NA,NA,NA
Castillo,2014,Y,Siderastrea siderea,SSID,Belize,Forereef,30 d,15 d,95 d,2.516409266,0.264459065,18,28.16,2.8,2.6003861,0.267413915,18,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Castillo,2014,Y,Siderastrea siderea,SSID,Belize,Forereef,30 d,15 d,95 d,2.515243902,0.198326282,18,28.16,2.8,NA,NA,NA,NA,0.461890244,0.209992534,18,32.01,NA,NA,NA,NA,NA
Castillo,2014,Y,Siderastrea siderea,SSID,Belize,Nearshore,30 d,15 d,95 d,2.472972973,0.26889134,18,28.16,2.8,2.409266409,0.267413915,18,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Castillo,2014,Y,Siderastrea siderea,SSID,Belize,Nearshore,30 d,15 d,95 d,2.455792683,0.202992782,18,28.16,2.8,NA,NA,NA,NA,0.580792683,0.207659283,18,32.01,NA,NA,NA,NA,NA
Enochs,2014,N,Acropora cervicornis,ACER,Florida Keys,Dade County,7 d,9 d,42 d,27.84,3.02,16,28,3.62,21.6,1.55,16,2.58,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grottoli,2014,Y,Orbicella faveolata,OFAV,Mexico,Puerto Morelos,5 d,7 d,15 d,0.377308707,0.105540897,9,30.6,NA,NA,NA,NA,NA,0.364116095,0.105540897,9,31.6,NA,NA,NA,NA,NA
Grottoli,2014,Y,Porites astreoides,PAST,Mexico,Puerto Morelos,5 d,7 d,15 d,1.762532982,0.290237467,9,30.6,NA,NA,NA,NA,NA,1.122691293,0.164907652,9,31.6,NA,NA,NA,NA,NA
Grottoli,2014,Y,Porites divaricata,PDIV,Mexico,Puerto Morelos,5 d,7 d,15 d,1.254617414,0.15171504,9,30.6,NA,NA,NA,NA,NA,0.964379947,0.125329815,9,31.6,NA,NA,NA,NA,NA
Horvath,2016,Y,Siderastrea siderea,SSID,Belize,Backreef,30 d,14 d,60 d,1.845718901,0.250403877,18,28,5.8,1.310553633,0.190311419,18,2.7,0.67961165,0.109223301,18,32,0.243902439,0.052264808,18,32,3.8
Horvath,2016,Y,Siderastrea siderea,SSID,Belize,Forereef,30 d,14 d,60 d,1.692245557,0.254442649,18,28,5.8,0.990484429,0.168685121,18,2.7,0.647249191,0.088996764,18,32,0.235191638,0.043554007,18,32,3.8
Horvath,2016,Y,Siderastrea siderea,SSID,Belize,Nearshore,30 d,14 d,60 d,1.797253635,0.387722132,18,28,5.8,1.570069204,0.155709343,18,2.7,0.792880259,0.153721683,18,32,0.300522648,0.052264808,18,32,3.8
Jury,2010,N,Madracis auretenra,MAUR,Curacao,Seaquarium,50 d,3 h,2 h,396.5957447,10.21276596,6,28,NA,420.4255319,35.74468085,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenkel,2013,N,Porites astreoides,PAST,Florida Keys,"Inshore, Sugarloaf Key",10 d,NA,43 d,1.0235,0.183230034,15,27.2,NA,NA,NA,NA,NA,0.5307,0.14262351,15,30.9,NA,NA,NA,NA,NA
Kenkel,2013,N,Porites astreoides,PAST,Florida Keys,"Offshore, Sugarloaf Key",10 d,NA,43 d,1.1878,0.418396175,15,27.2,NA,NA,NA,NA,NA,0.1298,0.322150956,15,30.9,NA,NA,NA,NA,NA
Okazaki,2017,Y,Acropora cervicornis,ACER,Florida Keys,Biscayne National Park,4 w,10 d,6 w,0.296,0.140159433,4,27,3.8,0.252333333,0.181323652,6,1.7,0.396666667,0.669825599,3,30.3,NA,NA,NA,NA,NA
